"","cond((Int))","zi((Int))","disp((Int))","cond(Days_Between_Z)","cond(MaxTemp_Z)","cond(Pct_Shaded_Z)","zi(Pct_Shaded_Z)","df","logLik","AICc","delta","weight"
"14",1.19899911360441,1.15144802683969,"+",-0.228796469366032,NA,-0.2767256863572,0.530893537924678,7,-370.864635004818,756.067638589697,0,0.182047009140271
"10",1.26391612166601,1.15144810837507,"+",-0.237853372805065,NA,NA,0.530893529027708,6,-371.956391611544,756.165795271281,0.0981566815841006,0.173328147625152
"16",1.22345757505709,1.1514480993912,"+",-0.236282688014074,-0.134615126168996,-0.309611540805499,0.530893529556652,8,-370.031537714011,756.499439064385,0.431800474688544,0.146696335950881
"13",1.21207254059423,1.15144849425178,"+",NA,NA,-0.278999826707079,0.53089342555635,6,-372.290797993302,756.834608034797,0.766969445100358,0.124061848955576
"9",1.27119619767594,1.15144448915041,"+",NA,NA,NA,0.530888052243888,5,-373.36605883484,756.91229784986,0.844659260162985,0.119335077747694
"12",1.28918400116061,1.15144809784872,"+",-0.24530314223983,-0.10946481408528,NA,0.530893530262954,7,-371.393893436665,757.126155453391,1.05851686369442,0.107233265591977
"15",1.23394266550355,1.15145107927273,"+",NA,-0.120081938499722,-0.312639945005462,0.530893364233133,7,-371.640370177835,757.61910893573,1.55147034603374,0.0838081093160842
"11",1.29407870813498,1.15144862001171,"+",NA,-0.0929852764981484,NA,0.530893412854222,6,-372.974437940074,758.20188792834,2.13424933864383,0.0626234792941943
"6",1.19899903349615,1.15851042777774,"+",-0.228796443376256,NA,-0.27672565677088,NA,6,-378.954430835006,770.161873718205,14.0942351285081,0.000158365026140293
"2",1.26391613243024,1.15851043069059,"+",-0.237853422329144,NA,NA,NA,5,-380.046187438118,770.272555056416,14.2049164667197,0.000149839090952114
"8",1.22345756441572,1.15851042691045,"+",-0.236282695051835,-0.134615122913476,-0.309611545787192,NA,7,-378.121333538396,770.581035656853,14.5133970671566,0.000128421996785051
"5",1.21207140768557,1.15851119973653,"+",NA,NA,-0.27899879679112,NA,5,-380.380593822967,770.941367826113,14.8737292364169,0.000107249254472473
"1",1.27118917188491,1.15851065762974,"+",NA,NA,NA,NA,4,-381.455854662528,771.031469804097,14.9638312144007,0.000102524789435228
"4",1.28918400172736,1.15851043054548,"+",-0.245303142781381,-0.109464813746374,NA,NA,6,-379.48368926896,771.220390586113,15.1527519964169,9.32835917107173e-05
"7",1.23394689915358,1.15851178058892,"+",NA,-0.120083366697813,-0.312636677193861,NA,6,-379.730166006822,771.713344061837,15.6457054721401,7.29057483626221e-05
"3",1.29407909745891,1.15851030898395,"+",NA,-0.0929857079893069,NA,NA,5,-381.064233769527,772.308647719234,16.241009129537,5.41368803120242e-05
