Cup,Rep,Block,N0,Temp,TempAvg,Killed,KilledPerHour
1,1,1,120,28,26,45,38.57142857
2,3,1,60,32,30,23,19.71428571
3,3,1,60,20,20,34,29.14285714
4,5,2,80,28,26,38,36.19047619
5,3,1,60,24,22.5,22,18.85714286
6,4,1,40,28,26,33,28.28571429
7,4,1,80,28,26,28,24
8,1,1,60,24,22.5,29,24.85714286
9,1,1,120,36,32,39,33.42857143
10,4,1,60,32,30,18,15.42857143
11,3,1,20,28,26,18,15.42857143
12,2,1,40,28,26,33,28.28571429
13,2,1,60,32,30,44,37.71428571
14,4,1,60,24,22.5,26,22.28571429
15,1,1,60,32,30,59,50.57142857
16,3,1,120,36,32,14,12
17,5,2,20,28,26,15,14.28571429
18,5,2,20,20,20,18,17.14285714
19,4,1,20,28,26,20,17.14285714
20,4,1,20,36,32,20,17.14285714
21,5,2,60,36,32,12,11.42857143
22,3,1,40,28,26,18,15.42857143
23,1,1,60,36,32,49,42
24,3,1,80,28,26,21,18
25,1,1,60,28,26,41,35.14285714
26,3,1,120,28,26,18,15.42857143
27,1,1,20,20,20,19,16.28571429
28,1,1,40,28,26,20,17.14285714
29,2,1,120,20,20,21,18
30,1,1,120,20,20,36,30.85714286
31,5,2,120,36,32,21,20
32,5,2,60,32,30,22,20.95238095
33,3,1,20,36,32,20,17.14285714
34,4,1,120,36,32,47,40.28571429
34,4,2,120,36,32,47,40.28571429
35,2,1,60,36,32,44,37.71428571
36,2,1,80,28,26,20,17.14285714
37,4,1,120,28,26,22,18.85714286
38,5,2,60,24,22.5,11,10.47619048
39,5,2,40,28,26,23,21.9047619
40,2,1,20,36,32,19,16.28571429
41,2,1,60,24,22.5,15,12.85714286
42,4,1,60,20,20,36,30.85714286
43,2,1,60,20,20,48,41.14285714
44,2,1,60,28,26,10,8.571428571
45,5,2,60,28,26,8,7.619047619
46,4,1,120,20,20,22,18.85714286
47,2,1,20,20,20,20,17.14285714
48,5,2,120,20,20,6,5.714285714
49,4,1,20,20,20,9,7.714285714
50,2,1,20,28,26,19,16.28571429
51,5,2,60,20,20,37,35.23809524
52,1,1,60,20,20,8,6.857142857
53,3,1,60,28,26,36,30.85714286
54,1,1,80,28,26,33,28.28571429
55,4,1,60,28,26,17,14.57142857
56,2,1,120,28,26,54,46.28571429
57,2,1,120,36,32,55,47.14285714
58,3,1,20,20,20,17,14.57142857
60,3,1,60,36,32,38,32.57142857
61,5,2,120,28,26,14,13.33333333
62,5,2,20,36,32,18,17.14285714
63,4,1,60,36,32,44,37.71428571
64,3,1,120,20,20,17,14.57142857
65,1,1,20,36,32,20,17.14285714
66,6,2,20,20,20,17,16.19047619
67,6,2,60,20,20,13,12.38095238
68,6,2,120,20,20,21,20
72,6,2,60,24,22.5,19,18.0952381
74,6,2,20,28,26,17,16.19047619
76,6,2,40,28,26,27,25.71428571
78,6,2,60,28,26,11,10.47619048
80,6,2,80,28,26,48,45.71428571
82,6,2,120,28,26,15,14.28571429
84,6,2,60,32,30,28,26.66666667
86,6,2,20,36,32,17,16.19047619
88,6,2,60,36,32,12,11.42857143
90,6,2,120,36,32,22,20.95238095
91,7,2,20,28,26,20,19.04761905
92,7,2,80,28,26,27,25.71428571
93,8,2,80,28,26,43,40.95238095
94,7,2,40,28,26,18,17.14285714
95,8,2,40,28,26,26,24.76190476
