Rep,Temp,Survivorship,Initial,Survived,DevTime,DevRate,MortalityRate
1,36,0.1,10,1,7,0.142857143,0.128571429
2,32,1,10,10,7.2,0.138888889,0
3,36,0.3,10,3,7,0.142857143,0.1
4,32,0.8,10,8,6.75,0.148148148,0.02962963
5,32,0.818181818,11,8.999999998,7.111111111,0.140625,0.025568182
6,32,0.9,10,9,7.666666667,0.130434783,0.013043478
7,24,0.9,10,9,9.777777778,0.102272727,0.010227273
8,20,0.9,10,9,13.55555556,0.073770492,0.007377049
9,20,0.7,10,7,13.42857143,0.074468085,0.022340426
10,20,0.7,10,7,13.71428571,0.072916667,0.021875
11,28,0.8,10,8,8,0.125,0.025
12,24,0.9,10,9,9.777777778,0.102272727,0.010227273
13,24,0.7,10,7,9,0.111111111,0.033333333
14,20,1,10,10,14,0.071428571,0
15,36,0.4,10,4,7,0.142857143,0.085714286
16,24,0.7,10,7,9.428571429,0.106060606,0.031818182
17,32,0.8,10,8,7.375,0.13559322,0.027118644
18,24,0.6,10,6,10.16666667,0.098360656,0.039344262
19,28,0.6,10,6,7.5,0.133333333,0.053333333
20,28,0.9,10,9,8,0.125,0.0125
21,24,0.7,10,7,11,0.090909091,0.027272727
22,24,1,10,10,9.5,0.105263158,0
23,28,0.9,10,9,7.666666667,0.130434783,0.013043478
24,20,0.7,10,7,14,0.071428571,0.021428571
25,20,1,10,10,14.4,0.069444444,0
26,36,0.1,10,1,6,0.166666667,0.15
27,32,0.8,10,8,7.375,0.13559322,0.027118644
28,20,1,10,10,14.90909091,0.067073171,0
29,32,0.9,10,9,7.111111111,0.140625,0.0140625
30,32,0.9,10,9,7,0.142857143,0.014285714
31,28,0.9,10,9,7.777777778,0.128571429,0.012857143
32,36,0.5,10,5,7.4,0.135135135,0.067567568
33,20,0.909090909,11,9.999999999,13.6,0.073529412,0.006684492
34,28,0.8,10,8,7.625,0.131147541,0.026229508
35,24,0.8,10,8,9.75,0.102564103,0.020512821
36,36,0.2,10,2,7.5,0.133333333,0.106666667
37,32,0.9,10,9,7.111111111,0.140625,0.0140625
38,28,1,10,10,8.4,0.119047619,0
39,36,0.3,10,3,7,0.142857143,0.1
40,28,0.8,10,8,7.5,0.133333333,0.026666667
41,36,0.3,10,3,7,0.142857143,0.1
42,20,0.8,10,8,13.625,0.073394495,0.014678899
43,28,1,10,10,7.7,0.12987013,0
44,36,0.2,10,2,7.5,0.133333333,0.106666667
45,24,1,10,10,11,0.090909091,0
46,28,0.909090909,11,9.999999999,8.2,0.12195122,0.011086475
47,24,0.7,10,7,9.857142857,0.101449275,0.030434783
48,36,0.2,10,2,6,0.166666667,0.133333333
49,32,1,10,10,6.818181818,0.146666667,0
50,20,1,10,10,13.8,0.072463768,0
